exercise_number,exercise_text,a,b,c,d,e,f,author,graphic
"3.106.","Un bec şi un reostat sunt legate în serie la o sursă de tensiune continuă astfel încât la bornele becului tensiunea este $60 \mathrm{~V}$. Rezistența reostatului este $60 \Omega$. Becul și reostatul consumă împreună $1200 \mathrm{~W}$. Intensitatea curentului în circuit este:\\","$5 \mathrm{~A}$","$2 \mathrm{~A}$","$2,8 \mathrm{~A}$","$8 \mathrm{~A}$","$4 \mathrm{~A}$","$8,6 \mathrm{~A}$","Nicoleta Eşeanu","N/A"
"3.107.","O sursă ideală având tensiunea electromotoare $E$ alimentează un circuit format din două rezistențe $R$ şi $5 R$ legate în paralel. Folosim aceeaşi sursă şi aceleaşi rezistoare, legate acum în serie. Raportul puterilor debitate de sursă în cele două cazuri este:\\","1,2","$5 / 6$","3,6","7,2","7","4,2","Nicoleta Eşeanu","N/A"
"3.108.","Puterea dezvoltată în rezistența exterioară a unui circuit de curent continuu este $P=150 \mathrm{~W}$. Dacă mărim rezistența exterioară cu $80 \%$, puterea creşte cu $25 \%$. Valoare puterii dacă, în loc să mărim rezistența, o micşorăm cu $25 \%$ este:\\","$141 \mathrm{~W}$","$128 \mathrm{~W}$","$3,5 \mathrm{~kW}$","$85,5 \mathrm{~W}$","$103 \mathrm{~W}$","$206 \mathrm{~W}$","Nicoleta Eşeanu","N/A"
"3.109.","Un rezistor $R$ este alimentat, pe rând, la două surse de tensiune continuă. În primul caz randamentul de transmisie a puterii este $60 \%$, iar în al doilea caz este $40 \%$. Legăm cele două surse în serie la bornele aceluiaşi rezistor. Randamentul circuitului nou format este:\\","$49 \%$","$24 \%$","$46 \%$","$31,6 \%$","$54 \%$","$58,4 \%$","Nicoleta Eşeanu","N/A"
"3.110.","În circuitul din Fig. 3.20 rezistoarele sunt identice şi au valoarea $22 \Omega$, iar sursa are parametrii $E=150 \mathrm{~V}$ şi $r=1 \Omega$. Rezistența $R_{1}=4 \Omega$. Intensitatea curentului prin $R_{1}$ este :\\","$5 \mathrm{~A}$","$10 \mathrm{~A}$","$15 \mathrm{~A}$","$20 \mathrm{~A}$","$25 \mathrm{~A}$","nici o variantă nu este corectă","Nicoleta Eşeanu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-167"
"3.111.","Două rezistoare au rezistențele $R$ și respectiv $4 R$ şi sunt alimentate la o sursă $(E, r)$ şi legate în paralel. Intensitatea curentului în sursă este egală cu?\\","$\frac{E}{R+r}$","$\frac{5 E}{4 R+5 r}$","$\frac{E}{5 R+r}$","0","$\infty$","$\frac{4 E}{5 R+4 r}$","Nicoleta Eşeanu","N/A"
"3.112.","Un rezistor cu rezistența $R_{2}=10 \Omega$ este înseriat cu un rezistor $R_{1}=8 \Omega$ şi cu o sursă având $E=40 \mathrm{~V}$ şi $r=2 \Omega$. Intensitatea curentului în circuit este:\\","$2 \mathrm{~A}$","$1 \mathrm{~A}$","$0,5 \mathrm{~A}$","$0,25 \mathrm{~A}$","$3 \mathrm{~A}$","$10 \mathrm{~A}$","Nicoleta Eşeanu","N/A"
"3.113.","Un ampermetru cu rezistența $R_{\mathrm{A}}=1 \Omega$ este legat în paralel cu un conductor de cupru cu rezistivitatea $\rho=17 \cdot 10^{-9} \Omega \mathrm{~m}$ de lungime $l=10 \mathrm{~m}$ şi secțiune $S=3,4 \cdot 10^{-6} \mathrm{~m}^{2}$. Ampermetrul indică un curent $I_{\mathrm{A}}=0,5 \mathrm{~A}$. Intensitatea curentului în circuit este:\\","$1,5 \mathrm{~A}$","$15 \mathrm{~A}$","$24 \mathrm{~A}$","$0,5 \mathrm{~A}$","$10 \mathrm{~A}$","$2,5 \mathrm{~A}$","Marcel Dobre","N/A"
"3.114.","Un acumulator cu rezistența internă $r$ debitează pe rezistența exterioară $R$ un curent de $12 \mathrm{~A}$. Dacă se măreşte rezistența cu $50 \%$, curentul debitat se micşorează cu $25 \%$. Să se determine intensitatea curentului dacă $R$ s-ar micşora cu $25 \%$.\\","$14,4 \mathrm{~A}$","$12 \mathrm{~A}$","$12,5 \mathrm{~A}$","$0,18 \mathrm{~A}$","$15 \mathrm{~A}$","$15,5 \mathrm{~A}$","Marcel Dobre","N/A"
"3.115.*","La bornele unei surse de curent continuu formate din $n=4$ elemente identice legate în serie, având fiecare tensiunea electromotoare $E=3 \mathrm{~V}$ şi rezistența internă $r=0,25 \Omega$ se leagă în paralel un vas de electroliză cu soluție de sulfat de cupru având $R_{1}=40 \Omega$ şi un rezistor de rezistență $R_{2}=10 \Omega$. Să se determine căderea de tensiune datorată rezistenței interne a unui element.\\","$4,4 \mathrm{~V}$","$0,33 \mathrm{~V}$","$5,2 \mathrm{~V}$","$2 \mathrm{~V}$","$1,5 \mathrm{~V}$","$4,5 \mathrm{~V}$","Marcel Dobre","N/A"
"3.116.*","Printr-un fir de argint cu diametrul $d=10^{-3} \mathrm{~m}$ trece o sarcină $q=90 \mathrm{C}$ în timp de o oră şi 15 minute. Firul conține $n=5,8 \cdot 10^{28}$ electroni liberi pe metru cub. Viteza de deplasare a electronilor prin fir va fi ( $e=1,6 \cdot 10^{-19} \mathrm{C}$ ):\\","$2,7 \cdot 10^{-6} \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}$","$1,5 \cdot 10^{-3} \mathrm{~m} / \mathrm{s}$","$2 \cdot 10^{-4} \mathrm{~m} / \mathrm{s}$","$3 \cdot 10^{4} \mathrm{~m} / \mathrm{s}$","$2,7 \cdot 10^{-3} \mathrm{~m} / \mathrm{s}$","Marcel Dobre","N/A"
"3.117.","Care este tensiunea care apare între bornele A şi B ale circuitului din Fig. 3.21 ?\\","$E R /(r+2 R)$","$E R /(r+R)$","$E R /(r+R / 2)$","$E r /(r+R)$","$E r /(r+2 R)$","$E R /(2 r+R)$","Marcel Dobre","images/2025_07_01_5b3ff9fa0d508c8e9f17g-169"
"3.118.*","Într-o bobinǎ cilindrică foarte lungă cu raza $r=6 \mathrm{~cm}$, având $n=8$ spire pe cm , străbatută de un curent $I=10 \mathrm{~A}$ se introduce un miez de fier moale cu $\mu_{r}=400$ şi lungimea $l_{1}=1,25 \mathrm{~cm}$. Fluxul magentic în bara de fier este:\\","$1 \mathrm{~Wb}$","$0,15 \mathrm{~Wb}$","$2,5 \mathrm{~Wb}$","$1,5 \mathrm{~Wb}$","$0,5 \mathrm{~Wb}$","$460 \mathrm{~mWb}$","Marcel Dobre","N/A"
"3.119.*","Ce frecvență are mişcarea de rotație a unui electron într-un loc unde componenta orizontală a câmpului magnetic terestru are valoarea $B=8 \pi \cdot 10^{-6} \mathrm{~T}$ ( $e=1,6 \cdot 10^{-19} \mathrm{C}, m_{0}=9,1 \cdot 10^{-31} \mathrm{~kg}$ ) ?\\","$3,2 \cdot 10^{7} \mathrm{~s}^{-1}$","$7,032 \cdot 10^{5} \mathrm{~s}^{-1}$","$8,12 \cdot 10^{5} \mathrm{~s}^{-1}$","$4,8 \cdot 106 \mathrm{~s}^{-1}$","$6,2 \cdot 10^{5} \mathrm{~s}^{-1}$","$9,11 \cdot 10^{7} \mathrm{~s}^{-1}$","Marcel Dobre","N/A"
"3.120.","Un aparat de prăjit pâinea are un rezistor din aliaj crom-nichel care funcționează la $120 \mathrm{~V}$. Când este pus în funcțiune la $0^{\circ} \mathrm{C}$, intensitatea curentului inițial care trece prin el este de $1,5 \mathrm{~A}$. Câteva secunde după aceea, intensitatea curentului atinge valoarea constantă $1,33 \mathrm{~A}$. Care este temperatura finală a rezistorului ? Valoarea medie a coeficientului termic al aliajului de crom-nichel pe intervalul respectiv de temperatură este de $0,45 \cdot 10^{-3} \mathrm{grad}^{-1}$.\\","$10^{\circ} \mathrm{C}$","$250 \mathrm{~K}$","$300^{\circ} \mathrm{C}$","$27^{\circ} \mathrm{C}$","$278^{\circ} \mathrm{C}$","$300 \mathrm{~K}$","Mădălina Puică","N/A"
"3.121.*","O bobină are 120 spire, lungimea $10 \pi \mathrm{~cm}$ şi este parcursă de un curent electric cu intensitatea de $1 \mathrm{~A}$. Ştiind că $\mu_{0}=4 \pi \cdot 10^{-7} \mathrm{H} / \mathrm{m}$, inducția magnetică în centrul bobinei este:\\","$4 \cdot 10^{-4} \mathrm{~T}$","$4,8 \cdot 10^{-4} \mathrm{~T}$","$5 \cdot 10^{-4} \mathrm{~T}$","$4,8 \mathrm{~T}$","$4,5 \cdot 10^{-4} \mathrm{~T}$","$8 \cdot 10^{-4} \mathrm{~T}$","Ion M. Popescu","N/A"
"3.122.*","O spiră în scurtcircuit, având rezistența $R=0,05 \Omega$, este parcursă de un flux magnetic $\Phi=10^{-5} \mathrm{~Wb}$ produs de un electromagnet. Întrerupând alimentarea electromagnetului, spira este parcursă de sarcina electrică:\\","$2 \mathrm{~C}$","$2 \cdot 10^{-3} \mathrm{C}$","$2 \cdot 10^{-4} \mathrm{C}$","$2,4 \cdot 10^{-4} \mathrm{C}$","$3 \cdot 10^{-4} \mathrm{C}$","$10^{-4} \mathrm{C}$","Ion M. Popescu","N/A"
"3.123.*","Traiectoria unui electron, a cărui sarcină specifică este $\frac{e}{m}=1,76 \cdot 10^{11} \mathrm{C} / \mathrm{kg}$, într-un câmp magnetic de inducție $B=7 \cdot 10^{-3} \mathrm{~T}$, este un arc de cerc cu raza $r=3 \mathrm{~cm}$. În acest caz, viteza $v$ a electronului este:\\","$3 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$4 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$3,7 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$3,696 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$3,5 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$5 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","Ion M. Popescu","N/A"
"3.124.*","Un electron (cu $\frac{e}{m}=1,7 \cdot 10^{\mathrm{II}} \mathrm{C} / \mathrm{kg}$ ) care se mişcă în vid, într-un câmp magnetic de inducție $B=8 \cdot 10^{-3} \mathrm{~T}$, pe un cerc cu raza de $2 \mathrm{~cm}$, are viteza:\\","$2 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$3 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$2,7 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$2,72 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$2,6 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$3,2 \cdot 10^{8} \mathrm{~m} / \mathrm{s}$","Ion M. Popescu","N/A"
"3.125.*","Pe lungimea $l$ a unei bobine fără miez sunt înfäşurate $N$ spire. Când prin bobină circulă un curent de intensitate $I$ fluxul magnetic în interior are o anumită valoare $\Phi$. Dacă se introduce în bobină un miez cu permeabilitatea relativă $\mu_{r}=128$, se reduce la jumătate numărul de spire (păstrând $l$ ) şi se reduce intensitatea curentului de 4 ori, fluxul devine $n \Phi$ unde $n$ este:\\","256","8","64","16","6","24","Constantin P. Cristescu","N/A"
"3.126.*","Un solenoid cu lungimea $l=0,2 \mathrm{~m}$ şi $N=250$ spire este parcurs de un curent electric cu intensitatea $I_{1}=0,4 \mathrm{~A}$. În interiorul său, în centru este plasată o spiră de rază $R=1 \mathrm{~cm}$ al cărei plan este paralel cu planul spirelor solenoidului. Intensitatea curentului care trebuie să circule prin spiră pentru ca inducția magnetică în centrul ei să fie nulă este:\\","$5,8 \mathrm{~A}$","$7 \mathrm{~A}$","$4,5 \mathrm{~A}$","$14 \mathrm{~A}$","$10 \mathrm{~A}$","$15 \mathrm{~A}$","Constantin P. Cristescu","N/A"
"3.127.*","Trei conductoare rectilinii paralele sunt situate într-un plan perpendicular pe planul foii. Cei trei curenți electrici au aceeaşi intensitate şi parcurg conductoarele în sensul arătat în Fig. 3.22. Forța care acționează asupra conductorului B este:\\","orientată perpendicular pe planul determinat de conductoare","orientată în sensul BC","orientată în sensul BA","nulă","orientată în lungul conductorului","nu se poate preciza din datele problemei","Constantin P. Cristescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-171"
"3.128.*","O buclă dreptunghiulară cu dimensiunile $12 \mathrm{~cm} \times 18 \mathrm{~cm}$ se află lângă un fir rectiliniu, infinit lung. O latură a dreptunghiului este paralelă cu firul şi se află la distanta de $6 \mathrm{~cm}$, conform Fig. 3.23. Prin buclă circulă un curent de $60 \mathrm{~A}$, iar prin fir circulă un curent de $40 \mathrm{~A}$. Mărimea și direcția forței pe care o exercită firul asupra buclei este:\\","$9,8 \mathrm{~N}$ spre fir","$5,1 \cdot 10^{-3} \mathrm{~N}$ spre fir","$7,2 \cdot 10^{-4} \mathrm{~N}$ spre exterior","$7,2 \cdot 10^{-4} \mathrm{~N}$ spre fir","$1,2 \cdot 10^{5} \mathrm{~N}$ spre exterior","$1,2 \cdot 10^{5} \mathrm{~N}$ spre fir","Alexandrina Nenciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-171(1)"
"3.129.*","O buclă este formată din două semicercuri concentrice de raze $R$, respectiv $2 R$, conectate prin două segmente radiale (conform Fig. 3.24). Inducția magnetică $\vec{B}$ în centrul buclei este:\\","$B=\frac{\mu_{0} I}{8 R}$, iese din foaie","$B=\frac{\mu_{0} I}{4 R}$, intră în foaie","$B=\frac{\mu_{0} I}{8 R}$, intră în foaie","$B=\frac{\mu_{0} I}{R}$, intră în foaie","$B=\frac{3 \mu_{0} I}{4 R}$, iese din foaie","$B=\frac{\mu_{0} I}{2 R}$, iese din foaie","Alexandrina Nenciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-171(2)"
"3.130.*","Un fir subțire, flexibil, prin care trece un curent de intensitate $I$ atârnă într-un câmp magnetic uniform, de inducție $\vec{B}$ conform Fig. 3.25. O greutate $\vec{G}$ este ataşată la unul din capetele firului, astfel că în fir apare tensiunea $T$. În câmp magnetic, porțiunea din fir se curbează şi ia forma unui arc de cerc. Raza cercului este:\\","$r=\frac{2 G}{B I}$","$r=\frac{G}{B I}$","$r=\frac{B I}{G}$","$r=\frac{2 B I}{G}$","$r=\frac{B I}{2 G}$","$r=\frac{G}{3 B I}$","Alexandrina Nenciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-172"
"3.131.*","Între polii unui electromagnet cu secțiunea $S=18 \mathrm{dm}^{2}$ se creează un flux magnetic $\Phi=0,45 \mathrm{~Wb}$. În acest spațiu se deplasează orizontal, sub acțiunea unei forțe mecanice constante $F=0,5 \mathrm{~N}$, un conductor având rezistența electrică $R=0,9 \Omega$ şi lungimea $l=30 \mathrm{~cm}$. Viteza limită (maximă) pe care o poate atinge conductorul pornind din repaus este egală cu :\\","$0,5 \mathrm{~m} / \mathrm{s}$","$0,8 \mathrm{~m} / \mathrm{s}$","$1 \mathrm{~m} / \mathrm{s}$","$2 \mathrm{~m} / \mathrm{s}$","$5 \mathrm{~m} / \mathrm{s}$","$9 \mathrm{~m} / \mathrm{s}$","Gabriela Cone","N/A"
"3.132.*","O tijă metalică se roteşte cu frecvența $n=600 \mathrm{rot} / \mathrm{min}$ în jurul unui ax care trece prin unul din capetele sale, în timp ce celălalt capăt alunecă pe un inel conductor de rază $r=10 \mathrm{~cm}$. Centrul inelului coincide cu axul de rotație al tijei Suprafața inelului este perpendiculară pe liniile unui câmp magnetic uniform de inducție $B=10^{-4} \mathrm{~T}$. Diferența de potențial indusă între capetele tijei este egală cu:\\","$1 \mathrm{~V}$","$3,14 \mathrm{mV}$","$31,4 \mu \mathrm{~V}$","$1 \mu \mathrm{~V}$","$1 \mathrm{~mV}$","$0,1 \mathrm{mV}$","Gabriela Cone","N/A"
"3.133.*","O particulă electrizată pătrunde cu viteza $v=200 \mathrm{~m} / \mathrm{s}$ într-un câmp magnetic uniform cu inducția $\bar{B}=1 \mathrm{~T}$, perpendicular pe liniile sale de câmp și descrie un sfert de cerc curaza $R=20,86 \mathrm{~cm}$. Durata mişcării particulei în câmp magnetic este :\\","$0,3 \mathrm{~s}$","$1,64 \mathrm{~ms}$","$0,58 \mathrm{~ms}$","$0,009 \mathrm{~s}$","$1 \mathrm{~s}$","$5 \mathrm{~s}$","Gabriela Cone","N/A"
"3.134.*","Un electron (de masă $m=9,1 \cdot 10^{-31} \mathrm{~kg}$ şi sarcină $q=1,6 \cdot 10^{-19} \mathrm{C}$ ) este accelerat de o sursă de tensiune şi atinge viteza $v=1,87 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$. Cu această viteză, el intră într-o zonă cu câmp magnetic de inducție $B$ astfel dimensionat încât el să nu atingă un electrod aflat la distanța $d=1 \mathrm{~cm}$ de punctul în care a intrat în câmp. Viteza sarcinii şi inducția câmpului magnetic vor fi:\\","$v=2500 \mathrm{~km} / \mathrm{s} ; B=0,2 \mathrm{~T}$","$v=3400 \mathrm{~m} / \mathrm{s} ; B=2 \mathrm{~T}$","$v=1000 \mathrm{~km} / \mathrm{s} ; B=0,075 \mathrm{~T}$","$v=18700 \mathrm{~km} / \mathrm{s} ; B=1 / 100 \mathrm{~T}$","$v=18000 \mathrm{~cm} / \mathrm{s} ; B=1 / 5 \mathrm{~T}$","$v=25000 \mathrm{~km} / \mathrm{s} ; B=0,2 \mathrm{~T}$","Constantin Roşu","N/A"
"3.135.*","Două conductoare paralele, foarte lungi, sunt parcurse de curenții $I$ și $2 I$ în acelaşi sens. Valoarea maximă a forței care acționează pe unitatea de lungime a unui conductor paralel parcurs de curentul $3 I$, aflat într-un plan perpendicular pe planul conductoarelor, la mijlocul distanței $d$ dintre aceştia este:\\","$\frac{17 \mu I^{2}}{4 \sqrt{2} \pi d}$","$\frac{27 \mu I^{2}}{4 \sqrt{2} \pi d}$","$\frac{27 \mu I^{2}}{4 \pi d^{2}}$","$\frac{3 \mu I}{4 \sqrt{2} \pi d}$","$\frac{7 \mu I^{2}}{4 d}$","$\frac{27 \mu I^{2}}{3 \pi d^{2}}$","Constantin Roşu","N/A"
"3.136.*","Într-un cadru pătrat care se deplasează uniform într-un câmp magnetic paralel cu planul cadrului, avem:\\","intensitatea curentului variază sinusoidal","tensiunea indusă este nulă","curentul indus este maxim","curentul indus este constant şi diferit de zero","tensiunea indusă scade exponențial","debitul volumic este minim","Constantin Roşu","N/A"
"3.137.*","Două conductoare rectilinii, paralele, foarte lungi, sunt parcurse de curenți de intensități $1 \mathrm{~A}$ şi respectiv $2 \mathrm{~A}$ . Între conductoare se exercită forța de atracție pe unitatea de lungime de $0,5 \mathrm{~N} / \mathrm{m}$. Într-un punct din planul conductoarelor situat la distanță egală de conductoare, inducția magnetică este :\\","$0,1 \mathrm{~T}$","$0,5 \mathrm{~T}$","$1 \mathrm{~T}$","$1,5 \mathrm{~T}$","$2 \mathrm{~T}$","$0,25 \mathrm{~T}$","Tatiana Pop","N/A"
"3.138.*","Un conductor liniar de lungime $l=0,6 \mathrm{~m}$ cu rezistența $r=1 \Omega$ se deplasează pe două bare conductoare paralele de rezistență neglijabilă, cu viteza $v=10 \mathrm{~m} / \mathrm{s}$, normal pe un câmp magnetic omogen de inducție $B=0,5 \mathrm{~T}$ perpendicular pe planul barelor. Barele sunt legate prin rezistoarele $R_{1}=3 \Omega$, respectiv $R_{2}=6 \Omega$. Curenții $I_{1}$ şi $I_{2}$ care trec prin $R_{1}$, respectiv $R_{2}$, şi puterea mecanică necesară deplasării conductorului mobil au valorile:\\","$I_{1}=0,05 \mathrm{~A}, I_{2}=1 \mathrm{~A}, P=4,5 \mathrm{~W}$","$I_{1}=0,66 \mathrm{~A}, I_{2}=0,33 \mathrm{~A}, P=3 \mathrm{~W}$","$I_{1}=0,33 \mathrm{~A}, I_{2}=0,66 \mathrm{~A}, P=3 \mathrm{~W}$","$I_{1}=1 \mathrm{~A}, I_{2}=2 \mathrm{~A}, P=4,5 \mathrm{~W}$","$I_{1}=1 \mathrm{~A}, I_{2}=2 \mathrm{~A}, P=9 \mathrm{~W}$","$I_{1}=1 \mathrm{~A}, I_{2}=0,05 \mathrm{~A}, P=3 \mathrm{~W}$","Tatiana Pop","N/A"
"3.139.*","Un ion se deplasează cu viteza $v_{0}=2 \cdot 10^{6} \mathrm{~m} / \mathrm{s}$ într-un câmp magnetic uniform de inducție $B=0,4 \mathrm{~T}$, viteza ionului fiind perpendiculară pe liniile de câmp. Dacă raza traiectoriei descrisă de ion este $r=10,4 \mathrm{~cm}$, sarcina specifică a ionului are valoarea:\\","$2,08 \cdot 10^{6} \mathrm{C} / \mathrm{kg}$","$4,8 \cdot 10^{7} \mathrm{C} / \mathrm{kg}$","$3,2 \cdot 10^{6} \mathrm{C} / \mathrm{kg}$","$1,85 \cdot 10^{4} \mathrm{C} / \mathrm{kg}$","$1,85 \cdot 10^{-3} \mathrm{C} / \mathrm{kg}$","$1,76 \cdot 10^{8} \mathrm{C} / \mathrm{kg}$","Corneliu Ghizdeanu","N/A"
"3.140.*","Prin scoaterea miezului de fier având permeabilitatea relativă $\mu_{r}$, energia câmpului magnetic în interiorul unui solenoid parcurs de un curent electric constant se modifică în modul următor:\\","creşte de 2 ori","scade de 2 ori","creşte de $\mu_{r}$ ori","scade de $\mu_{r}$ ori","scade de $\left(\mu_{r} I\right)$ ori","creşte de ( $\mu_{r}-1$ ) ori","Corneliu Ghizdeanu","N/A"
"3.141.*","În atomul de hidrogen, electronul ( $q \equiv e$ ) se rotește în jurul nucleului pe o orbită circulară de rază $r_{0}$, cu viteza $v_{0}$, producând în centrul spirei o inducție magnetică:\\","$\frac{\mu_{0} e v_{0}}{\pi r_{0}}$","$\frac{2 \pi \mu_{0} e v_{0}}{r_{0}^{2}}$","$\mu_{0} \frac{e v_{0}}{r_{0}}$","$\mu_{0} \frac{e v_{0}}{4 \pi r_{0}^{2}}$","$\mu_{0} \frac{e v_{0}}{2 r_{0}^{2}}$","$\frac{\mu_{0} e v_{0}}{2 \pi}$","Corneliu Ghizdeanu","N/A"
"3.142.*","Prin trei conductoare rectilinii, lungi, paralele, plasate în vid la distanțe egale cu $d=6 \mathrm{~cm}$ unul de altul, trec curenții $I_{1}=I_{2}=-I_{3}=1 \mathrm{~A}$. Inducția magnetică într-un punct aflat la distanță egală de cele trei conductoare este:\\","$4,5 \mathrm{mT}$","$14,23 \mu \mathrm{~T}$","$2,35 \mathrm{mT}$","$11,53 \mu \mathrm{~T}$","$72,3 \mu \mathrm{~T}$","$3,5 \mu \mathrm{~T}$","Elena Slavnicu","N/A"
"3.143.*","O spiră circulară cu diametrul $d=16 \mathrm{~cm}$ se află într-un plan vertical, fiind aşezată perpendicular pe liniile unui câmp magnetic de inducție $B=10 \mathrm{mT}$. Spira este rotită cu un unghi egal cu $\frac{\pi}{6}$. Sarcina totală indusă în spiră dacă rezistența totală a bobinei galvanometrului înseriat cu ea este $R=2,5 \Omega$ va fi:\\","$36,19 \mu \mathrm{C}$","$17,26 \mu \mathrm{C}$","$10,77 \mu \mathrm{C}$","$18,38 \mu \mathrm{C}$","$12,39 \mu \mathrm{C}$","$15,77 \mu \mathrm{C}$","Elena Slavnicu","N/A"
"3.144.*","Energia înmagazinată în câmpul magnetic al unei bobine, dacă lungimea ei se dublează şi se introduce în interior un miez de fier cu permeabilitatea magnetică relativă $\mu_{r}=100$, se modifică în modul următor:\\","creşte de 100 ori","scade de 100 ori","creşte de 2 ori","scade de 2 ori","creşte de 50 ori","scade de 50 ori","Maria Honciuc","N/A"
"3.145.*","În circuitul din Fig. 3.26., bara AB se mişcă paralel cu ea însăşi de la vârful O spre dreapta, cu viteza $v=5 \mathrm{~m} / \mathrm{s}$ de-a lungul bisectoarei unghiului $\alpha$. Circuitul este plasat într-un câmp magnetic de inducție $B=1,5 \mathrm{~T}$ perpendicular pe planul circuitului. Rezistența unității de lungime a circuitului este $r=0,1 \Omega \cdot \mathrm{~m}^{-1}$ şi $\alpha=60^{\circ}$. Valoarea intensității curentului electric care ia naştere in circuit prin deplasarea barei AB este:\\","$15 \mathrm{~A}$","$25 \mathrm{~A}$","$10 \mathrm{~A}$","$5 \mathrm{~A}$","$30 \mathrm{~A}$","$20 \mathrm{~A}$","Maria Honciuc","images/2025_07_01_5b3ff9fa0d508c8e9f17g-175"
"3.146.*","Un electron se mişcă pe o traiectorie perpendiculară pe un câmp magnetic uniform. Dacă energia cinetică se dublează, frecvența de rotație creşte de:\\","de 2 ori","de $1 / 2$ ori","de 4 ori","nu se modifică","de $1 / 4$ ori","7 ori","Cristina Stan","N/A"
"3.147.*","O bobină cu $N=2000$ spire dispuse pe o lungime $l=2 \mathrm{~cm}$, nu conține miez magnetic $\left(\mu_{0}=4 \pi \cdot 10^{-7} \mathrm{H} / \mathrm{m}\right)$ şi este străbătută de un curent $I=0,1 \mathrm{~A}$. Se plasează în centrul bobinei o spiră circulară, cu diametrul $D=1 \mathrm{~cm}$, perpendiculară pe liniile câmpului magnetic uniform creat de bobină. Știind că rezistența spirei este $R=20 \Omega$, iar $\pi^{2} \cong 10$, sarcina electrică totală care parcurge spira în timpul inversării sensului curentului electric prin bobină este:\\","$1 \mu \mathrm{C}$","nu se poate calcula pentru că nu se cunoaşte durata $\Delta t$ a inversării sensului curentului","$1 \mathrm{~mC}$","$0,1 \mu \mathrm{C}$","$0,5 \mu \mathrm{C}$","$0,5 \mathrm{C}$","Rodica Bena","N/A"
"3.148.*","Într-o spiră care se deplasează cu viteză constantă într-un câmp magnetic astfel încât liniile de câmp sunt mereu perpendiculare pe suprafața spirei:\\","tensiunea electromotoare indusă este maximă","curentul indus este alternativ","curentul indus este nul","curentul indus este constant","curentul indus este maxim","apare un curent autoindus constant","Rodica Bena","N/A"
"3.149.*","Într-un câmp magnetic de inducție $B=0,5 \mathrm{~T}$ pătrunde un ion pozitiv cu $v=10^{6} \mathrm{~m} / \mathrm{s}$, perpendicular pe direcția lui $\bar{B}$. Știind că raza traiectoriei descrise de ion în câmpul magnetic este $R=10 \mathrm{~cm}$, să se afle sarcina specifică.\\","$2 \cdot 10^{7} \mathrm{C} / \mathrm{kg}$","$5 \cdot 10^{-8} \mathrm{~kg} / \mathrm{C}$","$2 \cdot 10^{7} \mathrm{~kg} / \mathrm{C}$","$2 \cdot 10^{5} \mathrm{C} / \mathrm{kg}$","$5 \cdot 10^{-6} \mathrm{~kg} / \mathrm{C}$","$5 \cdot 10^{-8} \mathrm{C} / \mathrm{kg}$","Mona Mihăilescu","N/A"
"3.150.*","Două conductoare rectilinii, paralele şi foarte lungi, aşezate în aer ( $\mu=\mu_{0} \cong 4 \pi \cdot 10^{-7} \mathrm{~N} / \mathrm{A}^{2}$ ) la distanța $a=10 \mathrm{~cm}$ unul de altul, sunt parcurse de curenți având aceeaşi intensitate $I=30 \mathrm{~A}$, dar de sens contrar. Inducția câmpului magnetic în punctul situat la mijlocul distanței dintre ele este:\\","$5 \mathrm{~T}$","$3,5 \mathrm{~T}$","$4 \mathrm{~T}$","$2,4 \cdot 10^{-4} \mathrm{~T}$","$6,5 \cdot 10^{-3} \mathrm{~T}$","$7,5 \cdot 10^{-4} \mathrm{~T}$","Ion Belciu","N/A"
"3.151.*","O particulă încărcată electric, aflată în mişcare, pătrunde într-un câmp magnetic constant, după o direcție perpendiculară pe inducția câmpului $\vec{B}$ şi parcurge o traiectorie circulară de rază $R_{1}=4 \mathrm{~cm}$. Dacă particula pătrunde în acelaşi mod într-un câmp magnetic care şi-a dublat valoarea, raza traiectoriei, va fi:\\","$5 \mathrm{~cm}$","$8 \mathrm{~cm}$","$2,5 \mathrm{~cm}$","$2 \mathrm{~cm}$","$3 \mathrm{~cm}$","$6,5 \mathrm{~cm}$","Ion Belciu","N/A"
