exercise_number,solution
"1.110","Pentru a determina tendința de mişcare comparăm $G_{2}$ cu $G_{1 t}$:\\ $G_{2}=m_{2} g=9 \mathrm{~N}; \quad G_{1 t}=m_{1} g \sin \alpha=3 \mathrm{~N}$;\\ $G_{2}>G_{1 t}$, deci corpul $m_{1}$ urcă cu $F_{f}$ în jos: $F_{f}=\mu m g \cos \alpha=1,5 \mathrm{~N}$;\\ $G_{2}>G_{1 t}+F_{f}$, deci mişcarea este accelerată.\\ $a=\frac{G_{2}-G_{1 t}-F_{f}}{m_{1}+m_{2}}=\frac{g\left(m_{2}-m_{1} \sin \alpha-\mu m_{1} \cos \alpha\right)}{m_{1}+m_{2}}=3 \mathrm{~m} / \mathrm{s}^{2}$.\\ Pentru corpul $m_{2}$:\\ $m_{2} g-T=m_{2} a \Rightarrow T=m_{2}(g-a)=6,3 \mathrm{~N}$.\\"
"1.111","$L_{\text {frecare }}=E_{c, f}-E_{c, i}=\frac{m v^{2}}{2}-\frac{m v_{0}^{2}}{2}=-0,64 \frac{m v_{0}^{2}}{2} \cong -4 \mathrm{~J}$.\\"
"1.112","Din figura problemei:\\ $\operatorname{tg} \alpha=\frac{F_{c f}}{G}=\frac{m \omega^{2} r}{m g}=\frac{\omega^{2} r}{g}$, unde $r=l \sin \alpha$ este raza cercului descris de corp;\\ $\cos \alpha=\frac{g}{\omega^{2} l}=\frac{1}{2} \Rightarrow \alpha=60^{\circ}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-221}\\ Figura problemei \end{center}\\"
"1.113","Din legea conservării impulsului sistemului:\\ $m_{1} \vec{v}_{1}+m_{2} \vec{v}_{2}=\left(m_{1}+m_{2}\right) \vec{v}^{\prime} \Rightarrow v^{\prime}=\frac{m_{1} v_{1}-m_{2} v_{2}}{m_{1}+m_{2}}=-0,8 \mathrm{~m} / \mathrm{s}$, deci $\vec{v}^{\prime}$ este orientată în sensul vitezei $\vec{v}_{2}$;\\ $Q=\frac{1}{2} \cdot \frac{m_{1} m_{2}}{m_{1}+m_{2}}\left(v_{1}-v_{2}\right)^{2}=5,78 \mathrm{~J}$.\\"
"1.114","Componenta normală (la perete) pentru viteza mingii este: $v_{n}=v \sin \alpha$; în urma ciocnirii perfect elastice: $v_{n}^{\prime}=-v_{n}$, iar variaţia impulsului este:\\ $\Delta p=m v_{n}^{\prime}-m v_{n}=-2 m v_{n}=-2 m v \sin \alpha$;\\ Forța medie asupra mingii:\\ $F_{m}=\frac{|\Delta p|}{\Delta t}=\frac{2 m v \sin \alpha}{\Delta t}=5 \sqrt{3} \cdot 10^{-21} \mathrm{~N} \cong 8,65 \cdot 10^{-21} \mathrm{~N}$.\\"
"1.115","Legea conservării impulsului sistemului:\\ $m_{1} v=\left(m_{1}+m_{2}\right) v^{\prime}$;\\ Pentru mişcarea ce urmează ciocnirii aplicăm teorema variației energiei:\\ $\Delta E=L_{\text {neconservativ }} \Rightarrow E_{\text {final }}-E_{\text {inițial }}=L_{\text {frecare }}$;\\ $E_{\text {final }}=\frac{k d^{2}}{2}; \quad E_{\text {inițial }}=\frac{\left(m_{1}+m_{2}\right) v^{\prime 2}}{2}; \quad L_{\text {frecare }}=-\mu\left(m_{1}+m_{2}\right) g d$;\\ Obținem:\\ $v^{\prime 2}=\frac{k d^{2}}{m_{1}+m_{2}}+2 \mu g d \Rightarrow v^{\prime}=0,7 \mathrm{~m} / \mathrm{s}$;\\ $v=\frac{\left(m_{1}+m_{2}\right) v^{\prime}}{m_{1}}=2,8 \mathrm{~m} / \mathrm{s}$.\\"
"1.116","Timpul de cădere este: $t_{c}=\sqrt{\frac{2 h}{g}}$; în acest timp discul trebuie să se rotească, la minim, cu $\alpha=6 \cdot \frac{2 \pi}{8}=\frac{3 \pi}{2}$ (unghiul dintre razele vectoare ale orificiilor 1 şi 4); dar: $\alpha=\omega t_{c}$ şi $v=\frac{\omega}{2 \pi}$;\\ Prin urmare, $v_{\min }=\frac{3}{4} \sqrt{\frac{g}{2 h}}=\frac{\sqrt{3}}{4} \mathrm{rot} / \mathrm{s}$.\\"
"1.117","Ecuațiile de mişcare ale celor două corpuri sunt:\\ $y_{1}=v_{0} t-\frac{g t^{2}}{2} \quad \text { şi } \quad y_{2}=H-\frac{g t^{2}}{2}$;\\ Condiția de întâlnire: $y_{1}=y_{2} \Rightarrow t=\frac{H}{v_{0}}=5 \mathrm{~s}$ şi $y_{1}=y_{2}=h=75 \mathrm{~m}$.\\"
"1.118","Asupra greutății din dreapta acționează forțele: $m \vec{g},\ \vec{T}$ - tensiunea în fir. Asupra sistemului din stânga acționează forțele: $m \vec{g},\ \vec{T}$ şi $\vec{P}$ - greutatea corpului $m_{0}$ (vezi figura problemei).\\ Asupra corpului $m_{0}$ acţionează $m_{0} \vec{g}$ şi $\vec{N}$ - reacțiunea din partea lui $m$. Ecuația de mişcare pentru corpuri proiectate pe direcția accelerației:\\ $T-m g=m a; \quad m g+P-T=m a$;\\ $m_{0} g-N=m_{0} a$;\\ $P=N$.\\ Pe baza legii a III-a a lui Newton, $a=\frac{m_{0} g}{2 m+m_{0}}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-222}\\ Figura problemei \end{center}\\"
"1.119","Fie $v=$ viteza şalupei relativă la apă, $u=$ viteza de curgere a apei, iar $S=$ distanța dintre A şi B. Atunci:\\ $S=(v+u) t_{1}$ este spațiul parcurs de şalupă în direcția de curgere a apei în timpul $t_{1}$;\\ $S=(v-u) t_{2}$ este spațiul parcurs de şalupă în sens invers curgerii apei, în timpul $t_{2}$;\\ $S=u \cdot t$ este spațiul parcurs de şalupă, dacă motorul este oprit.\\ $u=\frac{S}{t}; \quad S=\left(v+\frac{S}{t}\right) \cdot t_{1} \Rightarrow v=\frac{S}{t_{1}}-\frac{S}{t}$;\\ $S=\left(v-\frac{S}{t}\right) \cdot t_{2}; \quad S=\left(\frac{S}{t_{1}}-\frac{S}{t}-\frac{S}{t}\right) \cdot t_{2}$;\\ $t_{1} t=\left(t-2 t_{1}\right) \cdot t_{2} \Rightarrow t\left(t_{2}-t_{1}\right)=2 t_{1} t_{2}$;\\ $t_{1} t-t t_{2}=-2 t_{1} t_{2} \Rightarrow t=\frac{2 t_{1} t_{2}}{t_{2}-t_{1}}$.\\"
"1.120","Fie $t=$ timpul total de mişcare, $S_{1}=v_{1} \frac{t}{4}$ - spațiul parcurs în timpul $\frac{t}{4}$, iar $S_{2}=v_{2} \frac{3 t}{4}=$ drumul parcurs în restul timpului $\frac{3 t}{4}$.\\ $v_{\text {med }}=\frac{S_{1}+S_{2}}{t}=\frac{v_{1} \frac{t}{4}+v_{2} \frac{3 t}{4}}{t}=\frac{v_{1}+3 v_{2}}{4}=\frac{7+3 \cdot 4}{4}=\frac{19}{4}=4,75 \mathrm{~km} / \mathrm{h}$.\\ $S_{1}=\frac{S}{4}$ - drumul parcurs cu viteza $v_{1}$;\\ $S_{2}=\frac{3 S}{4}$ - drumul parcurs cu viteza $v_{2}$;\\ $t_{1}=\frac{S_{1}}{v_{1}}=\frac{S}{4 v_{1}}; \quad t_{2}=\frac{S_{2}}{v_{2}}=\frac{3 S}{4 v_{2}};$\\ $v_{\text {med }}=\frac{S_{1}+S_{2}}{t_{1}+t_{2}}=\frac{S}{\frac{S}{4 v_{1}}+\frac{3 S}{4 v_{2}}}=\frac{4 v_{1} v_{2}}{v_{2}+3 v_{1}}=4,48 \mathrm{~km} / \mathrm{h}$.\\"
"1.121","$m=0,2 \mathrm{~kg}; \quad h=1 \mathrm{~m}; \quad a=8 \mathrm{~m} / \mathrm{s}^{2}; \quad \Delta p=$?\\ $v_{f}^{2}=2 a h \Rightarrow v_{f}=\sqrt{2 a h}=\sqrt{2 \cdot 8 \cdot 1}=\sqrt{16}=4 \mathrm{~m} / \mathrm{s}$.\\ $\Delta p=p_{f}-p_{i}=m v_{f}-m v_{i}=m v_{f}=0,2 \cdot 4=0,8 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$, deoarece $m v_{i}=0$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-223}\\ Figura problemei \end{center}\\"
"1.122","Ecuația de mişcare în punctul superior al podețului este (vezi figura problemei):\\ $m g-N=m a_{c p}=\frac{m v^{2}}{R}; \quad N=\frac{m g}{2}$ (condiția problemei);\\ Rezultă: $R=\frac{2 v^{2}}{g}=\frac{2}{10} \cdot 20^{2}=\frac{400}{5}=80 \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-223(1)}\\ Figura problemei \end{center}\\"
"1.123","Se aplică teorema de variație a energiei mecanice $E_{2}-E_{1}=L$ (lucrul mecanic al forțelor neconservative).\\ $E_{2}=\frac{m v_{f}^{2}}{2}; \quad E_{1}=\frac{m v_{0}^{2}}{2}+m g h$.\\ Rezultă: $L=\frac{m v_{f}^{2}}{2}-\left(\frac{m v_{0}^{2}}{2}+m g h\right)=-220 \mathrm{~J}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-224}\\ Figura problemei \end{center}\\"
"1.124","Din figura problemei, pe axa $Ox$:\\ $F_{1} \cos \alpha-F_{f}=0$; ($a=0$, $v=const.$)\\ $F_{f}=\mu N=\mu\left(m g-F_{1} \sin \alpha_{1}\right)$;\\ $F_{1} \cos \alpha_{1}=\mu\left(m g-F_{1} \sin \alpha_{1}\right)$;\\ Analog: $F_{2} \cos \alpha_{2}=\mu\left(m g-F_{2} \sin \alpha_{2}\right)$;\\ Rezultă: $\frac{F_{1}}{F_{2}} \frac{\cos \alpha_{1}}{\cos \alpha_{2}}=\frac{m g-F_{1} \sin \alpha_{1}}{m g-F_{2} \sin \alpha_{2}} \Rightarrow\\ \Rightarrow m=\frac{1}{g} \frac{F_{1} F_{2}\left(\sin \alpha_{2} \cos \alpha_{1}-\cos \alpha_{2} \sin \alpha_{1}\right)}{F_{1} \cos \alpha_{1}-F_{2} \cos \alpha_{2}} \Rightarrow m=20 \sqrt{3} \mathrm{~kg}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-224(1)}\\ Figura problemei \end{center}\\"
"1.125","a) $\frac{m v_{f}^{2}}{2}+Q=\frac{m v_{0}^{2}}{2}$;\\ $m v_{f}^{2}+2 Q=m v_{0}^{2} \Rightarrow v_{f}=\sqrt{\frac{m v_{0}^{2}-2 Q}{m}}=\sqrt{v_{0}^{2}-\frac{2}{m} Q}=100 \mathrm{~m} / \mathrm{s}$.\\ b) $v_{f}^{2}=v_{0}^{2}+2 a l \Rightarrow a=-4 \mathrm{~m} / \mathrm{s}^{2}$.\\ c) $v_{f}=v_{0}+a t \Rightarrow t=\frac{v_{f}-v_{0}}{a}=50 \mathrm{~s}$.\\"
"1.126","Conform figurii problemei, pentru bătaie avem relația:\\ $d=v_{0} \sqrt{\frac{2 h}{g}}$;\\ Avem: $h=l \sin \alpha; \quad d=l \cos \alpha$;\\ Obținem: $v_{0}=\cos \alpha \sqrt{\frac{g l}{2 \sin \alpha}}=15 \mathrm{~ms}^{-1}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-225(1)}\\ Figura problemei \end{center}\\"
"1.127","Procedăm la izolarea sistemului de legături (vezi prima figură):\\ Avem: $\left\{\begin{array}{l}F-T_{1}-m a_{1}=0 \\ T_{1}-M a_{1}=0\end{array} \Rightarrow a_{1}=\frac{1}{M+m} F; \quad T_{1}=\frac{M}{M+m} F\right.$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-225} Caz 1 \end{center}\\ Pentru cazul al doilea, avem (vezi a doua figură):\\ $\left\{\begin{array}{l}T_{2}-m a_{2}=0 \\ F-T_{2}-M a_{2}=0\end{array} \Rightarrow a_{2}=\frac{1}{M+m} F; \quad T_{2}=\frac{m}{M+m} F\right.$\\ Cum $M>m$, rezultă $a_{1}=a_{2}$ şi $T_{1}>T_{2}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-225(2)} Caz 2 \end{center}\\"
"1.128","Notând cu $x_{1}$ şi $x_{2}$ alungirile resorturilor legate în serie, avem:\\ $E_{1}=\frac{k_{1} x_{1}^{2}}{2}=\frac{k_{1}^{2} x_{1}^{2}}{2 k_{1}}=\frac{\left(k_{1} x_{1}\right)^{2}}{2 k_{1}}=\frac{F_{1}^{2}}{2 k_{1}}$ şi analog $E_{2}=\frac{F_{2}^{2}}{2 k_{2}}$.\\ În cazul legării în serie forțele ce acționează asupra resorturilor sunt egale:\\ $F_{1}=F_{2}=F \Rightarrow \frac{E_{1}}{E_{2}}=\frac{k_{2}}{k_{1}}$.\\"
"1.129","Aplicăm sistemului conservarea impulsului:\\ $m \cdot 0=M \cdot 0=m u+M v \Rightarrow v=\frac{m}{M} u$;\\ Spațiul până la oprire este: $S=\frac{V^{2}}{2 \mu g}=\frac{m^{2} u^{2}}{2 M^{2} \mu g}=50 \mathrm{~m}$.\\"
"1.130","Viteza corpul este de forma: $v=m+n t^{2}=0,18 \mathrm{~m} / \mathrm{s}$.\\ Acceleraţia corpului este de forma: $a=\frac{\mathrm{d} v}{\mathrm{~d} t}=2 n t=0,08 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.131","În primele $5 \mathrm{~s}$ mişcarea este uniform accelerată, deci:\\ $s=\frac{1}{2} a t^{2} \Rightarrow a=\frac{2 s}{t^{2}}=6 \mathrm{~m} / \mathrm{s}^{2}$;\\ Viteza după primele $5 \mathrm{~s}$ este $v=a t=30 \mathrm{~m} / \mathrm{s}$. În următoarele $5 \mathrm{~s}$ mişcarea este uniformă, $F=0$, deci $s=v t=150 \mathrm{~m}$.\\"
"1.132","Electronul se mişcă uniform accelerat fără viteză inițială, $v_{0}=0$, adică $v^{2}=2 a s \Rightarrow a=\frac{v^{2}}{2 s}$.\\ Forța de accelerație este: $F=m a=m \frac{v^{2}}{2 s}=1,62 \cdot 10^{-15} \mathrm{~N}$.\\"
"1.133","În primele $2 \mathrm{~s}$, corpul se deplasează cu accelerația $a=2 \mathrm{~m} / \mathrm{s}^{2}$, deci spațiul parcurs în acest timp este $s_{1}=\frac{a t^{2}}{2}=4 \mathrm{~m}$. După $t=2 \mathrm{~s}$ avem:\\ $T=m\left(g+a^{\prime}\right) \Rightarrow a^{\prime}=\frac{T-m g}{m}=0 \mathrm{~m} / \mathrm{s}^{2}$, deci corpul se deplasează uniform, cu viteză constantă egală cu $v=a t=4 \mathrm{~m} / \mathrm{s}$.\\ Spațiul parcurs în timpul $t_{2}=5 \mathrm{~s}-2 \mathrm{~s}=3 \mathrm{~s}$ este $s_{2}=v t_{2}=12 \mathrm{~m}$.\\ Spațiul total parcurs de corp va fi $s=s_{1}+s_{2}=16 \mathrm{~m}$.\\"
"1.134","Timpul de coborâre a obiectului este $t_{c}=\sqrt{\frac{2 y}{g}}=19,49 \mathrm{~s}$. Componentele vitezei vor fi $v_{x}=v=90 \mathrm{~m} / \mathrm{s}$, componenta după axa $\mathrm{O} x$, iar $v_{y}=g t_{c}=194,9 \mathrm{~m} / \mathrm{s}$, componenta după axa $\mathrm{O} y$.\\"
"1.135","Energia mecanică a corpului este $E=E_{c}+E_{p}$ unde $E_{c}$ este energia cinetică a corpului, iar $E_{p}$ este energia potențială a corpului.\\ Energia cinetică este $E_{c}=\frac{m v^{2}}{2}$ unde $v$ este viteza la înălțimea de $10 \mathrm{~m}$, adică $v=\sqrt{2 g\left(h-h_{1}\right)}=20 \sqrt{2} \mathrm{~m} / \mathrm{s}$. Înlocuind, se obține $E_{c}=800 \mathrm{~J}$.\\ Energia potențială este $E_{p}=m g h_{1}=200 \mathrm{~J}$.\\ Energia totală va fi: $E=1000 \mathrm{~J}$.\\"
"1.136","Conform figurii problemei:\\ $F=m(g+a)=2(9,8+1,2)=22 \mathrm{~N}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-227(1)}\\ Figura problemei \end{center}\\"
"1.137","$F=\left(m_{1}+m_{2}\right) a \Rightarrow a=\frac{F}{m_{1}+m_{2}}$;\\ $f=m_{2} a=F \frac{m_{2}}{m_{1}+m_{2}}=50 \frac{2}{8+2}=10 \mathrm{~N}$.\\"
"1.138","$d_{1}=v_{01} t_{1}+\frac{a t_{1}^{2}}{2}; \quad d_{2}=v_{02} t_{2}+\frac{a t_{2}^{2}}{2}$;\\ $v_{02}=v_{01}+a t_{1}; \quad d_{1}=d_{2}=\frac{d}{2}$;\\ $a=d \frac{t_{1}-t_{2}}{t_{1} t_{2}\left(t_{1}+t_{2}\right)}=0,25 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.139","$t_{u}=t_{c}=t / 2; \quad h=\frac{g t^{2}}{8}=4,9 \mathrm{~m}$.\\"
"1.140","Vezi figura problemei.\\ $F_{f_{1}}=\mu\left(F_{N}+G \cos \alpha\right); \quad G_{t}=G \sin \alpha$;\\ $F_{f_{2}}=\mu\left(F_{0} \sin \alpha+G \cos \alpha\right); \quad F_{t}=G \sin \alpha-F_{0} \cos \alpha$;\\ $\left\{\begin{array}{l} \mu\left(F_{N}+G \cos \alpha\right)=G \sin \alpha\\ \mu\left(F_{0} \sin \alpha+G \cos \alpha\right)=G \sin \alpha-F_{0} \cos \alpha \end{array}\right.$\\ $n=\frac{F_{N}}{F_{0}}$;\\ $\mu=\frac{\cos \alpha}{n-\sin \alpha}=\frac{1}{2 \sqrt{2}-1}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-227}\\ Figura problemei \end{center}\\"
"1.141","$\mu m g=\frac{m v^{2}}{R} \Rightarrow \mu=\frac{v^{2}}{R g}=\frac{10^{2}}{50 \cdot 9,8}=0,2$.\\"
"1.142","$P=F \cdot v=m g \frac{h}{t} \Rightarrow t=\frac{m g h}{P}=\frac{500 \cdot 9,8 \cdot 18}{9,8 \cdot 10^{3}}=0,9 \mathrm{~s}$.\\"
"1.143","$-F=m a=m \frac{\nu}{t} \Rightarrow|F|=\frac{4009 \cdot 10^{3} \cdot 10}{20}=200 \mathrm{~kN}$.\\"
"1.144","Viteza instantanee a mobilului este $v=v_{0}+a t$.\\ $v_{0}=3 \mathrm{~m} / \mathrm{s}; \quad a=8 \mathrm{~m} / \mathrm{s}; \quad v=8 t+3$.\\ La $t=3 \mathrm{~s} \Rightarrow v(3)=8 \cdot 3+3=27 \mathrm{~m} / \mathrm{s}$.\\"
"1.145","Din formula lui Galilei pe planul înclinat, respectiv orizontal, avem:\\ $0=v_{0}^{2}-2 a_{u} l$, unde $a_{u}$ este accelerația la urcarea pe plan;\\ $0=v_{0}^{2}-2 a_{0} l$, unde $a_{0}$ accelerația pe planul orizontal.\\ Rezultã $a_{u}=a_{0} \Rightarrow g(\sin \alpha+\mu \cos \alpha)=g \mu \Rightarrow \mu(1-\cos \alpha)=\sin \alpha$.\\ Ținând cont de definiția unghiului de frecare, avem:\\ $\mu=\operatorname{tg} \varphi=\frac{\sin \alpha}{1-\cos \alpha}=\frac{2 \sin \frac{\alpha}{2} \cos \frac{\alpha}{2}}{2 \sin ^{2} \frac{\alpha}{2}}$;\\ Rezultǎ: $\operatorname{tg} \varphi=\frac{\cos \frac{\alpha}{2}}{\sin \frac{\alpha}{2}}=\operatorname{ctg} \frac{\alpha}{2}=\operatorname{tg}\left(\frac{\pi}{2}-\frac{\alpha}{2}\right) \Rightarrow \varphi=\frac{\pi-\alpha}{2}$.\\"
"1.146","$\frac{m v_{1}^{2}}{2}=\frac{1}{n} \frac{m v_{0}^{2}}{2} \Rightarrow v_{1}=\frac{v_{0}}{\sqrt{n}}$.\\ Pe direcția $O x$ mişcarea este uniformă, componenta vitezei pe această axă fiind tot timpul constantă (vezi figura problemei).\\ $v_{0} \cos \alpha=v_{1} \cos \beta \Rightarrow \cos \beta=\sqrt{n} \cos \alpha$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-229}\\ Figura problemei \end{center}\\"
"1.147","Fie $v_{0}=0$, $v_{1}$, $v_{2}$ şi $v_{3}$ vitezele corpului în punctele de abscise $x=0$, $x_{1}=2 \mathrm{~m}$, $x_{2}=6 \mathrm{~m}$, respectiv $x_{3}=8 \mathrm{~m}$. Conform teoremei variației energiei cinetice avem:\\ $\left.\begin{array}{l} \frac{m v_{1}^{2}}{2}=L_{1}\\ \frac{m v_{2}^{2}}{2}-\frac{m v_{1}^{2}}{2}=L_{2}\\ \frac{m v_{3}^{2}}{2}-\frac{m v_{2}^{2}}{2}=L_{3} \end{array}\right\} \Rightarrow \frac{m v_{3}^{2}}{2}=L_{1}+L_{2}+L_{3}$\\ Unde $L_{1}=\frac{2 \cdot 27}{2} \mathrm{~J}=27 \mathrm{~J}$; $L_{2}=(6-2) \cdot 27 \mathrm{~J}=108 \mathrm{~J}$ şi $L_{3}=\frac{(8-6) \cdot 27}{2} \mathrm{~J}=27 \mathrm{~J}$.\\ Rezultă: $v_{3}=\sqrt{\frac{2\left(L_{1}+L_{2}+L_{3}\right)}{m}}=\sqrt{\frac{2 \cdot 162}{1}}=18 \mathrm{~m} / \mathrm{s}$.\\"
"1.148","Conform figurii problemei, vitezele cu care corpurile ajung în punctul cel mai de jos al suprafeței cilindrice sunt $v_{1}=v_{2}=v=\sqrt{2 g R}$.\\ Energia potențială inițială este:\\ $E_{p}=\left(m_{1}+m_{2}\right) g R=(n+1) m_{1} R g$.\\ Căldura degajată în urma ciocnirii plastice este:\\ $Q=\frac{1}{2} \cdot m_{r} \cdot v_{r}^{2}=\frac{1}{2} \cdot \frac{m_{1} m_{2}}{m_{1}+m_{2}} \cdot(2 v)^{2}=\frac{1}{2} \cdot \frac{n m_{1}^{2}}{(n+1) m_{1}} \cdot 4 \cdot 2 \cdot R g=\frac{4 n m_{1} R g}{(n+1)}$.\\ Ea reprezintă fracțiunea $f$ din energia potențială inițială:\\ $f=\frac{Q}{E_{p}}=\frac{4 n m_{1} R g}{(n+1)} \cdot \frac{1}{(n+1) m_{1} R g}=\frac{4 n}{(n+1)^{2}}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-229(1)}\\ Figura problemei \end{center}\\"
"1.149","Viteza cu care corpul de masă $m$ va ciocni plastic corpul atârnat este:\\ $v^{2}=v_{0}^{2}-2 g\left(h_{1}-h_{2}\right) \quad (1)$\\ Din conservarea impulsului în ciocnirea plastică, rezultă:\\ $m v=(m+M) \cdot V \Rightarrow V=\frac{m}{m+M} \cdot v \quad (2)$\\ Distanța pe care se ridică cele două corpuri se găseşte din ecuația lui Galilei:\\ $0=V^{2}-2 g x \Rightarrow x=\frac{V^{2}}{2 g}$.\\ Folosind relația (2) se obține:\\ $x=\left(\frac{m}{m+M}\right)^{2}\left(\frac{v_{0}^{2}}{2 g}-h_{1}+h_{2}\right)$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-230}\\ Figura problemei \end{center}\\"
"1.150","Caracteristicile mişcării primei castane în momentul aruncării cele de-a doua castane sunt:\\ $x_{10}=\frac{1}{2} g t^{2}=\frac{1}{2} \cdot 9,8 \cdot 1^{2}=4,9 \mathrm{~m};\\ v_{10}=g t=9,8 \cdot 1=9,8 \mathrm{~m} / \mathrm{s}$.\\ Ecuațiile de mişcare pentru cele două castane sunt:\\ $x_{1}=x_{10}+v_{10} t+\frac{1}{2} g t^{2};\\ x_{2}=v_{20} t+\frac{1}{2} g t^{2}$.\\ Condiția de întâlnire a celor două castane este:\\ $x_{1}=x_{2} \Rightarrow x_{10}+v_{10}+\frac{1}{2} g t^{2}=v_{20}+\frac{1}{2} g t^{2}$.\\ Rezolvând în raport cu timpul $t$ rezultă:\\ $t=\frac{x_{10}}{v_{20}-v_{10}}=\frac{4,9}{15-9,8}=0,94 \mathrm{~s}$.\\ Distanța parcursă se obţine înlocuind valoarea timpului în una din ecuațiile de mişcare:\\ $x_{1}=4,9+9,8 \cdot 0,94+\frac{1}{2} \cdot 9,8 \cdot 0,94^{2}=18,4 \mathrm{~m}$.\\"
"1.151","Diagrama forțelor care acționează asupra corpului este reprezentată în figura problemei. Descompunem forțele care acționează asupra corpului de-a lungul planului (axa $Ox$) şi pe direcţie perpendiculară (axa $Oy$). Conform principiului fundamental al mecanicii, accelerația este determinatã de rezultanta forțelor care acționează asupra corpului. Deoarece corpul urcă de-a lungul planului, accelerația este îndreptată pe direcția $Ox$.\\ $Ox: F \cos \theta-G \sin \theta-f=m a$;\\ $Oy: N-G \cos \theta-F \sin \theta=0$.\\ Forța de frecare este: $f=\mu \cdot N$.\\ Rezolvând sistemul celor trei ecuații se obține:\\ $F \cos \theta-G \sin \theta-\mu(G \cos \theta+F \sin \theta)=m a$, adică:\\ $F=m \cdot \frac{a+g(\sin \theta+\mu \cos \theta)}{\cos \theta-\mu \sin \theta}$.\\ Înlocuind valorile numerice se obține valoarea acestei forțe:\\ $F=10 \cdot \frac{\frac{\sqrt{2}}{2}+10 \cdot\left(\frac{\sqrt{2}}{2}+0,2 \cdot \frac{\sqrt{2}}{2}\right)}{\frac{\sqrt{2}}{2}-0,2 \cdot \frac{\sqrt{2}}{2}}=162,5 \mathrm{~N}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-231}\\ Figura problemei \end{center}\\"
"1.152","Conform principiului fundamental al mecanicii:\\ $F=m_{1} a_{1} \quad (1)$\\ $F=m_{2} a_{2} \quad (2)$\\ Deoarece $a_{2}=2 a_{1}$, se obține:\\ $m_{1} a_{1}=2 m_{2} a_{1} \Rightarrow m_{1}=2 m_{2} \quad (3)$\\ Dacă se lipesc cele două mase, forța $F$ va produce accelerația $a$ determinată din ecuația:\\ $F=\left(m_{1}+m_{2}\right) a \quad (4)$\\ Adunând relațiile (1), (2) şi folosind (4) rezultă:\\ $2\left(m_{1}+m_{2}\right) a=m_{1} a_{1}+m_{2} a_{2}$, de unde, cu ajutorul relației (3) se obține:\\ $a=\frac{2 m_{2} a_{1}+m_{2} 2 a_{1}}{2\left(2 m_{2}+m_{2}\right)}=\frac{2}{3} a_{1}$.\\"
"1.153","Din legea de conservare a impulsului în ciocnirea plastică dintre cele două vehicule, rezultă:\\ $M v=(M+m) V \Rightarrow V=\frac{M}{M+m} v=12 \mathrm{~m} / \mathrm{s}$;\\ Folosind ecuația lui Galilei:\\ $0=V^{2}-2 a x \Rightarrow x=\frac{V^{2}}{2 a} \quad (1)$\\ Accelerația se determină din principiul fundamental al mecanicii, singura forță care determină accelerația fiind forța de frecare:\\ $\mu m g=m a \Rightarrow a=\mu g=0,2 \cdot 10=2 \mathrm{~m} / \mathrm{s}^{2}$;\\ Înlocuind (1) în (2) se obține:\\ $x=\frac{V^{2}}{2 \mu g}=36 \mathrm{~m}$.\\"
"1.154","Scriem conservarea impulsului şi a energiei cinetice pentru sistemul format din cele două particule:\\ $4 v M-m v=m v_{1}$;\\ $\frac{M(4 v)^{2}}{2}+\frac{m v^{2}}{2}=\frac{m v_{1}^{2}}{2}$.\\ Ridicăm la pătrat prima ecuație, o împărţim la cea de-a doua şi obținem:\\ $M / m=1,5$.\\"
